Gobernador Gregores Airport,Gobernador Gregores,Argentina,-48.7831,-70.15,ar
Santa Teresita Airport,Santa Teresita,Argentina,-36.5423,-56.7218,ar
Necochea Airport,Necochea,Argentina,-38.4831,-58.8172,ar
Zapala Airport,ZAPALA,Argentina,-38.9755,-70.1136,ar
Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,-37.3906,-68.9042,ar
Sierra Grande Airport,Sierra Grande,Argentina,-41.5917,-65.3394,ar
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,Argentina,-41.3209,-69.5749,ar
D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,-45.0136,-70.8122,ar
Jose De San Martin Airport,Jose de San Martin,Argentina,-44.0486,-70.4589,ar
Termas de Río Hondo international Airport,Rio Hondo,Argentina,-27.4966,-64.9359,ar
Tolwin Observatory Airport,Tolhuin,Argentina,-54.5219,-67.199,ar
Presidente Néstor Kirchner Regionsl Airport,Villa Maria,Argentina,-32.3201,-63.2266,ar
Sunchales Aeroclub Airport,Sunchales,Argentina,-30.9575,-61.5283,ar
Erebuni Airport,Yerevan,Armenia,40.1221,44.465,am
Stepanavan Airport,Stepanavan,Armenia,41.0485,44.3372,am
Zvartnots International Airport,Yerevan,Armenia,40.1473,44.3959,am
Gyumri Shirak Airport,Gyumri,Armenia,40.7504,43.8593,am
Dzhermuk Airport,Dzhermuk,Armenia,39.824,45.674,am
Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.0152,aw
Brisbane Archerfield Airport,Brisbane,Australia,-27.5703,153.008,au
Northern Peninsula Airport,Amberley,Australia,-10.9508,142.459,au
Alice Springs Airport,Alice Springs,Australia,-23.8067,133.902,au
Brisbane International Airport,Brisbane,Australia,-27.3842,153.117,au
Gold Coast Airport,Coolangatta,Australia,-28.1644,153.505,au
Cairns International Airport,Cairns,Australia,-16.8858,145.755,au
Charleville Airport,Charlieville,Australia,-26.4133,146.262,au
Mount Isa Airport,Mount Isa,Australia,-20.6639,139.489,au
Sunshine Coast Airport,Maroochydore,Australia,-26.6033,153.091,au
Mackay Airport,Mackay,Australia,-21.1717,149.18,au
Proserpine Whitsunday Coast Airport,Prosserpine,Australia,-20.495,148.552,au
Rockhampton Airport,Rockhampton,Australia,-23.3819,150.475,au
Townsville Airport,Townsville,Australia,-19.2525,146.765,au
Weipa Airport,Weipa,Australia,-12.6786,141.925,au
Avalon Airport,Avalon,Australia,-38.0394,144.469,au
Albury Airport,Albury,Australia,-36.0678,146.958,au
Melbourne Essendon Airport,Melbourne,Australia,-37.7281,144.902,au
RAAF Base East Sale,East Sale,Australia,-38.0989,147.149,au
Hobart International Airport,Hobart,Australia,-42.8361,147.51,au
Launceston Airport,Launceston,Australia,-41.5453,147.214,au
Melbourne Moorabbin Airport,Melbourne,Australia,-37.9758,145.102,au
Melbourne International Airport,Melbourne,Australia,-37.6733,144.843,au
RAAF Williams Point Cook Base,Point Cook,Australia,-37.9322,144.753,au
Adelaide International Airport,Adelaide,Australia,-34.945,138.531,au
RAAF Base Edinburgh,Edinburgh,Australia,-34.7025,138.621,au
Perth Jandakot Airport,Perth,Australia,-32.0975,115.881,au
Karratha Airport,Karratha,Australia,-20.7122,116.773,au
Kalgoorlie Boulder Airport,Kalgoorlie,Australia,-30.7894,121.462,au
Kununurra Airport,Kununurra,Australia,-15.7781,128.708,au
Learmonth Airport,Learmonth,Australia,-22.2356,114.089,au
Port Hedland International Airport,Port Hedland,Australia,-20.3778,118.626,au
Adelaide Parafield Airport,Adelaide,Australia,-34.7933,138.633,au
Perth International Airport,Perth,Australia,-31.9403,115.967,au
Woomera Airfield,Woomera,Australia,-31.1442,136.817,au
Sydney Bankstown Airport,Sydney,Australia,-33.9244,150.988,au
Canberra International Airport,Canberra,Australia,-35.3069,149.195,au
Coffs Harbour Airport,Coff's Harbour,Australia,-30.3206,153.116,au
Camden Airport,Camden,Australia,-34.0403,150.687,au
Dubbo City Regional Airport,Dubbo,Australia,-32.2167,148.575,au
RAAF Base Richmond,Richmond,Australia,-33.6006,150.781,au
Sydney Kingsford Smith International Airport,Sydney,Australia,-33.9461,151.177,au
Tamworth Airport,Tamworth,Australia,-31.0839,150.847,au
Wagga Wagga City Airport,Wagga Wagga,Australia,-35.1653,147.466,au
Emerald Airport,Emerald,Australia,-23.5675,148.179,au
